jenis_kelamin,usia,pendidikan,pekerjaan,penghasilan,domisili,durasi_internet,aktivitas_online_meningkat,layanan_aktif_1,layanan_aktif_2,layanan_aktif_3,layanan_aktif_4,layanan_aktif_5,layanan_aktif_6,bank_1,bank_2,bank_3,bank_4,bank_5,bank_6,bank_7,freq_atm,freq_internet_bank,freq_mobile_bank,freq_sms_bank,freq_cabang,fitur_cekSaldo,fitur_mutasi,fitur_transfer_sesamabank,fitur_transfer_antarbank,fitur_pulsa,fitur_tagihan,keluhan_1,keluhan_2,keluhan3
Wanita,38.0,SMA,Karyawan Swasta,Rp 2 juta – Rp 5 juta,bogor,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,23.0,SMK,Pelajar / Mahasiswa,< Rp 2 juta,tangerang,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,24.0,D3,Pegawai Negeri,Rp 2 juta – Rp 5 juta,tangerang,14.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bandung,20.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,52.0,S1,Profesional,Rp 2 juta – Rp 5 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jatinangor,10.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,singkawang,4.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,25.0,D4,Pegawai Negeri,Rp 5 juta – Rp 10 juta,jakarta,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,28.0,S1,Pegawai Negeri,Rp 5 juta – Rp 10 juta,bandung,3.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,22.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bandung,3.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,54.0,S1,Ibu Rumah Tangga,> Rp 10 juta,jakarta,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,39.0,S2,Pengusaha,> Rp 10 juta,yogyakarta,10.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,51.0,S1,Konsultan Pertanian,> Rp 10 juta,bogor,8.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
